name,content,type
NS012,"The terms ""digitalization"" and ""digitization"" are frequently used interchangeably. Both terms refer to the same object, although they mean different things. Digitization is the translation of analog information into digital forms, whereas digitalization is the arrangement of multiple and various social life areas via digital communication technology. Digitalization technologies consist of artificial intelligence (AI), robots, automation, the Internet of Things, big data, 3D printing, autonomous vehicles, drones, cyber weapons. dDgitalization refers to the use of any digitalization technology on any part of the commercialization activities of companies.","Gbadegeshin, 2019"
DK001,"Disruptive technology (DT) can be defined as “A technology that changes the bases of competition by changing the performance metrics along which firms compete.”The concepts of DT tracing the origins of this mainstream theory to the seminal work. The concept of DT itself was introduced in the late 1990s, later modified to disruptive innovation (DI) to more holistically include not only technological disruptions. Since then, DT seems to have been increasingly absorbed into the conceptualization of DI.","Li et al., 2018,  p. 286."
DK002,"How disruptive innovations have helped man to master his enemies and extend his power and influence. The use of the bow and arrow, and gunpowder in later centuries are instances of how the adoption of a disruptive technology and its innovative application had decisively impacted the creation of new empires and kingdoms.Over the course of history, mankind has perfected its industry by not only relying on disruptive technical evolution but also by reinventing it as new resources have created new technical means and made possible disruptive innovations.","Majumdar, Debashis, et al., 2018, p. 1247-1248."
DK005,"The education sector will be highly impacted by the developments in disruptive Information and Communications Technologies, and corresponding innovative changes in pedagogy. In the near future, traditional college and university education connected with high income generating professional courses like science, engineering, and management studies may well lose its primacy. Many mediocre and economically weaker students may prefer to enroll in cheaper online distance courses leaving only the meritorious and well-off students to pursue the expensive higher education delivered by brick and mortar colleges and universities. Consequently, many brick-and-mortar colleges and universities may not be required and get phased out","Majumdar, Debashis, et al., 2018, p-1252."
DK006,"To manage disruption requires leaders to balance the tension between exploiting a core business that generates reliable, short-term results, and exploring into new areas where results are uncertain, even if the long-term payoff may prove to be attractive. Too often, organizations, faced with potential disruption from competitors, commit resources to generate new ideas for exploration but struggle to convert these ideas into meaningful businesses","O’Reilly, C. & Binns, A. J. M., 2019, p. 50."
DK007,"To deal with discontinuous innovation, firms must master three distinctstages or disciplines, idea generation (ideation), incubation (validation), and growth (scaling). While these three stages can also apply to incremental innovation, being successful at discontinuous innovation requires leaders to be more sophisticated at managing these stages (see Table 1), especially in how they approach scaling. Furthermore, mastering only one or two of these stages is insufficient. Having new ideas that do not meet the market test, having market-tested ideas that can not be scaled, or scaling ideas that are not market validated are all recipes for failure. Success needs all three.","O’Reilly, C. & Binns, A. J. M., 2019, p. 69."
DK008,"First, disruptive innovation provides a significant competitive advantage to firms which stems from being a quick mover or a quick follower, while latecomer firms are featured in flexible organisational structure and quick response ability which makes it possible. Second, disruptive innovation is a process which is usually difficult to be captured by incumbents due to lack of economic incentives and/or existing organisational barriers. In contrast, however, latecomer firms will be provided with the entry chances into the fringe market which can obtain survival by avoiding the disadvantages of resource constraints and further to disrupt the mainstream market.","Zhang, K. et al., 2019, p. 1490."
DK009,"Disruptive innovation as: An innovation process in which technologies, products or services are initially inferior than those provided by incumbents in the attributes that mainstream consumers value, but these technologies, products or services can attract and satisfy the consumers in low-end or new markets with advantages in performance attributes (such as being cheap, simple, or convenient) that these consumers value but which at the same time are neglected by mainstream markets. Over time, through incremental improvement of technology or process, a disruptive innovation gradually satisfies the needs of mainstream consumers, so as to attain certain market share from or even replace incumbents in mainstream markets.","Si, S. & Chen, H., 2020, p. 06."
DK010,"Technology disruption takes place when the performance of a new technology dominates the current mainstream technology. In other words, technology disruption occurs when the performance of new technology surpasses the performance of the dominant one. Firm disruption means the market share of a firm whose products benefit from a new technology exceeds the market share of the largest firms in the mainstream market”.","Si, S. & Chen, H., 2020, p. 04."
DK011,Overuse of disruptive innovation/disruption as a synonym for any new threat (or substantial ongoing change) and underuse of disruptive innovation as a theoretical concept. Many popular writers invoke disruptive innovation to describe any new technology or startup that aims to shake up an industry and alter its competitive patterns; previously successful incumbents facing difficulties or going out of business are routinely said to have been disrupted.,"Christensen, C. M. et al., 2018, p. 1044."
DK012,"Low-end disruptions are those that attack the least-profitable and most over-served customers, begin in a low-end market, with inferior performance as regards traditional attributes and by offering a low price and design simplicity. These innovations are designed for customers for whom the incumbent’s offer provides excess functionality at unaffordable prices. Such disruptions are associated with the strategies of opportunities discovery. Incumbents pay less attention to less-discerning customers and typically offer their products to their most profitable, more discerning customers","Martínez-Vergara & Valls-Pasola, 2021, p. 902-903"
DK013,"New-market disruptions begin with least-demanding tier and compete against non consumption, are specifically focused on creating consumption and are disruptions that create a new value network. These innovations provide products with a different group of features from the mainstream product for customers who “had not owned or used the prior generation of products or services” or new users. Unlike low-end disruptions, new market disruptions do not necessarily compete on lower price, adding that many disruptive changes are hybrids of low-end and new market disruption (e.g. Canon Photocopier). New market disruption into two types: fringe-market low-end encroachment and detached-market low-end encroachment","Martínez-Vergara & Valls-Pasola, 2021, p. 902-903"
DK014,"Disruptive technologies offer a different package of attributes valued by only in emerging markets remote and from, and unimportant to, mainstream.","Martínez-Vergara & Valls-Pasola, 2021, p. 899"
AA0001,"According to proponents of the process driven business model, relationships between the components of a model are the subject of dynamic change thus looking at a specific business model at a certain point in time is a reflection of the prevailing circumstances. Demil and Lecocq (2010) highlights three core components of a process driven business model, namely, resources and competencies, organizational structure, and propositions for value delivery. Changes within or between these components may impact the model hence making it a dynamic ‘organism’ with the propensity for change signalled by changes in the inter-relational and intra-relational components of the model. Demil and Lecocq (2010) thus conclude that anticipating and reacting to the ‘consequences of evolution in any given component’ is a capability crucial to build and maintain sustainable firm performance.","Gassmann, et al., 2016, pp. 4-5"
AA0002,"Baden-Fuller and Morgan (2010) postulated to the effect that business models may be perceived as the outcome of the combination of recipes. In this metaphor, the ingredients of those recipes would be resources, capabilities, products, customers, technologies, markets, regulations, and so on. What constitutes a successful recipe in one instance may differ from what constitutes success in another instance. The capability to know what factors can produce which anticipated outcomes, and an appreciation of why is key to building a successful business model in line with the cognitive school of thought","Gassmann, et al., 2016, pp. 7"
AA0003,"As one of the first to introduce the concept of open business models, Chesbrough (2006, 2007b) proposes that incumbents should open-up their traditionally closed business models because a stronger collaboration with partners helps a firm to find and seize novel, external opportunities. Conceptually, the open business model extends the concept of openness from the innovation and value creation context to all aspects of a business model. To this end, the author believes that discovery-driven planning could unravel uncertainties which itself can provide a basis for business model innovation.","Gassmann, et al., 2016, pp. 9-10"
AA0004,"According to the Duality school, implementing a unique business model requires explorative activities as BMIs are somehow new in nature and long for new organizational processes, structures, and capabilities. This is in stark contrast to an operating business model of a company, which is most often directed at exploitation. A conundrum emerges which is characterized by whether there is a conflict with the established business and whether there is a similarity with the established business","Gassmann, et al., 2016, pp. 9-17"
AA0005,Business models should thus be treated as dynamic systems that can and should be altered to address challenges and opportunities of the broader environment.,"Liu, et al., 2021, pp. 13"
BO0001,"We also know that digital technologies are profoundly impacting the ways in which corporations manage production, work and employment relations within global value chains (GVCs)","Raj-Reichert et. al., 2020, p.134"
BO0002,The large number of new opportunities driven by digitalization put pressure on SMEs to reconsider their current business models or critically reflect on their current strategy in order to identify new business opportunities.,"Bouwman et al., 2019, pp 2"
BO0003,"Digital transformation is not about optimizing internal processes or incorporating new technologies, but fundamentally changing SMEs’ business models","Bouwman et al., 2019, pp 1"
BO0004,"Digitalization leads firms to radical transformations in their systems and processes, as well as in their management methods and workforce.","Herve et al., 2020, pp. 28"
BO0005,Building up a high degree of digitalization in new ventures seems to be a promising strategy for new ventures to overcome the liabilities of newness and smallness.,"Rosin et al., 2020, pp. 60"
BO0006,"An ever growing number of aspects of most societies and their economies are inextricably linked to changes brought forward by technological developments that are transforming people’s everyday routines, perceptions of the environment, access to the electricity, food, health, education and many others.","Zavratnik et al., 2018, pp 1"
BO0007,"In contrast, online communities for low-skilled micro-task platforms were more controlled with little opportunity for crowdworkers to interact with each other. This, Gerber argued, was done to curb ‘irresponsible autonomy’ or worker resistance. Moreover, Gerber finds the design of community spaces as forms of indirect control via ‘community engineering’ whereby workers used these spaces individually to cope with their negative work experiences and thereby minimizing contestation and conflict. Therefore, these spaces did not become vehicles for building collective worker power. Rather, they were designed as instruments of selfregulation and self-disciplining, turning workers into self-managers.","Raj-Reichert et. al., 2020, p.137"
BO0008,"Smart factories, moreover, allow managers to electronically track individual workers and how long it takes a worker to finish a process on a particular product. Such digitalized worker management methods are also increasingly being applied in offices, contributing to an uberization of work beyond the offline gig economy","Raj-Reichert et. al., 2020, p.134"
MM0001,"Sometimes a startup may believe its new technology is captivating enough on its own that it does not require an explicit customer value proposition. As a result, most often a startup does not have sufficient understanding of how its offering would affect the customer's business. It is therefore often unable to provide a monetary estimate of customer value that prospective customers find convincing.","Wouters et al., 2018, pp. 101-102"
MM0002,"A successful innovative offering value proposition convinces the customer that the startup's offering will provide extraordinary value, if the startup can actually realize it. The leveraging assistance value proposition identifies which specific support and resources the startup will receive and what the startup will give in return for that.","Wouters et al., 2018, pp. 111"
MM0003,"Once we understand the job and all its dimensions, including the full process for how to get it done, we can design the offering. The more important the job is to the customer, the lower the level of customer satisfaction with current options for getting the job done, and the better your solution is than existing alternatices at getting the job done, the greater the customer value proposition.","Johnson et al., 2008"
MM0004,"New companies that wish to scale rapidly require value proposition development capabilities that go beyond the ones required by companies that have small or moderate growth objectives. Diverse value propositions, all having a logic to scale early and rapidly since inception, must be developed. Each value proposition must then be aligned with the value propositions of all other stakeholders, as well as with the new company' pathway to scale.","Bailetti et al., 2020, pp. 15"
MM0005,"As one of the most widely used terms in business, a customer value proposition should be the firm's single most important organizing principle, considering that it is crucial to the value creation process, with significant performance implications. There are three broaden perspectives on the customer value proposition: customer value propositions that are principally supplier-determined, reflecting a value-in-exchange emphasis; customer value propositions that are transitional, with recognition of the customer experience; and customer value proposition that are matually determined, reflecting a value-in-use emphasis.","Payne et al., 2017, pp. 467-471"
MM0006,"Value propositions have been described as the reasons a customoer will value a firm's offering. Recent developments in the sustainable business model innovation space have led to the extension of the value proposition concept to integrate sustainabilitiy if its logic. Sustainable value propositions are the result of generating shared value for a network of stakeholders, while addressing a sustainabliity problem, and developing a product or service that tackles the problem.","Vladimirova, 2019, pp. 1"
MM0007,"Being faced with increasing competition on a global scale, supplier firms are constantly searching for means to gain and maintain competitive advantage by differentiating themselves and their market offering from competitors. This quest for differentiation has directed managerial attention to both, a broader and a deeper undestanding of how firms create value for their customers.","Eggert et al., 2018, pp. 80"
FE0001,Identifying patterns in similar data and determining the results inherent in a particular group identificate problems in complex data sets and provide the results for practical use.,"Kulkov, 2021, p.4."
FE0002,"Composing of interacting subsystems are always to some degree interdependent and intercoperate exclusively by using redefined,stable interfaces in order to connect the platform by modules and add functionality to the platform.","Yrjölä et al., 2021, p.70."
FE0003,"Enabling efficient infrastructure sharing by different network users, opening the ecosystem to new players, and accelerating time to market by reducing service creation and activation times with the logical interface between network and business applications by providing an abstraction of the network towards applications and interfaces let easy service creation, optimization and expose actionable network insights to application and content providers, enterprises, and industry verticals.","Yrjölä et al., 2021, p.72."
FE0004,"Choosing a process framework for provider–customer outcome-based service relationships whose phases will be value proposition definition, value provision design, and value-in-use delivery , will also create both value creation and value capture  that are reiterated between the provider and customer. Thus each phase will ensure iterative cycles of value creation and value capture activities with the logic of successful alignment and progression to the next phase. ","Sjödin et al., 2020, p.175."
FE0005,"Improving and extending the scope of value creation over time, emphasizing on value-creation processes in the implementation phase as successful business model innovation requires significant effort in delivering value in use to make the business relationship sustainable for both parties over time. In this phase, ensuring alignment by simultaneously refining value creation processes and regulating incentive structures will be important.","Sjödin et al., 2020, p.173-177."
FE0006,"Visualization of the business models by highlighting the importance of partners, customers or other exchange partners and the importance of cooperation in the value creation process will also create value for customers.","Havemo, 2018, p.447."
FE0007,"Getting benefit from the design thinking methods of value mapping,value proposition prototyping, and value proposition implementation for development of sustainable BMs will allow for a repeatable process that can be adopted by firms looking to develop new sustainable BMs. ","Bryant et al., 2020, p.132."
FE0008,"Focusing on design for the process of companies let individual projects , internal processes, and entire business models innovate as design’s heritage is often manifested in physical products, allowing, through the set of choices made by designers and engineers, for the development of technological solutions focused on meeting a market need or demand.","Bryant et al., 2020, p.125."
FE0009,"Optimizing and integrating business processes provides synergically interconnected system of business activities with each other in the business process management (BPM) achieve competitive advantage and create, distribute value.","Trkman, 2010; Vom Brocke & Sinnl, 2011; Jeston & Nelis, 2014; Rosemann & vom Brocke, 2015; Bisan et al., 2020, p.999."
FE0010,"In dynamic, open and highly collaborative environments, business model innovation (BMI) is aimed at creating innovative value propositions, based on exploration and exploitation of new business opportunities’ forecast, process and product innovation in an holistic approach of BPMI.","Roglinger et al., 2012;  Zott & Amit, 2013; Christensen et al., 2016;  Bisan et al., 2020, p.1009."
FE0011,"The ongoing dynamic occurring at operational level by system of procedures can be optimized for measuring, mapping and integrating activities and further improvements become necessary on the side of streamlining the process of operations by recurring to the ecosystem resources which require in-depth integration among business units to ensure viability of processes in value capture
operations.","Bisan et al., 2020, p.1010-1011."
FE0012,"To qualify for an innovation, the new business model must enlarge the existing economic pie, either by attracting new customers into the market or by encouraging existing customers to consume more and BMI phases should contain the four phases identified are initiation (understanding the ecosystem), ideation (generating new ideas), integration (aligning the business model internally), and implementation (making investments).","Frankenberger et al., 2013 ; Amit & Zott, 2015, p.6-9."
AK0001,"Disruption through complements arises from a combination of dynamic forces: technological change alters the calculations of cost and benefit of entry over time, organizational learning alters the understanding of opportunity, and capability building alters the complementor’s effectiveness in pursuing new goals."," Adner et al., 2021, p. 94."
AK0002,A given firm can conceive of itself as core and see the rest of the system as complementary to its value creation.,"Adner et al., 2021, p. 96."
AK0003,"Within the ecosystem, competition from one domain affects competition in the other.","Adner et al., 2021, p. 96."
AK0004,"Disruption through complements is distinctive in that the threat arises not from outside entrants or existing rivals but rather from complementors— actors that are already contributing to value creation and therefore have resources, capabilities, relationships, and learning opportunities that differ from those that characterize other potential threats.","Adner et al., 2021, p. 106."
AK0005,"Commoditization comprises a shift in power, influence, and/or value away from a focal firm and toward an ecosystem partner. Adjacent entry converts a partner into a direct rival. Value inversion gradually transforms a complement into a substitute.","Adner et al., 2021, p. 106."
AK0006,"To improve customer satisfaction, firms should strengthen the perceptions of their customer relationships as well as adopt different strategies: entrants should focus on channels, whereas incumbents should concentrate on value propositions.","Benzidia et al., 2021, p. 9."
AK0007,Disruptive technology can only be successful if it has a clear strategy for gaining market share.,"Benzidia et al., 2021, p. 11."
AK0008,"As performance meets and eventually surpasses existing needs, competition shifts to other dimensions. Less-integrated offerings and businesses with modular architectures become viable.","Christensen et al., 2018, p. 1070."
AK0009,"When products are not yet good enough to satisfy customers’ performance requirements, firms rely on internally interdependent integrated product architectures to maximize performance.","Christensen et al., 2003; Christensen et al., 2018, p. 1070."
AK0010,The organizational and managerial mechanisms that contribute to disruption are a devotion to an existing customer base and the abandonment of certain market segments.,"Christensen et al., 2003; Christensen et al., 2008; Christensen et al., 2018, p. 1062."
AK0011,"When a disruptive innovation emerges in an adjacent market, an incumbent can create an autonomous organizational unit and task it with developing and commercializing the new innovation.","Christensen, 1997; Christensen et al., 2018, p. 1062."
AK0012,"Different members (or sides) of the ecosystem coalescing around a platform have motivations and interests that may diverge even as they jointly create value. Not surprisingly, some relationships are cooperative and some are competitive. Yet others, however, are co-opetitive.","Brandenburger, 1996; Gnyawali, 2011; Kumaraswamy et al., 2018, pp. 1028-1029."
AK0013,Incumbents are advised to reduce errors of omission by pursuing innovations that could be disruptive in the future well before others.,"Kumaraswamy et al., 2018, p. 1030."
AK0014,"To reduce errors of omission, incumbents must cultivate the capacity to read weak signals about potentially disruptive innovations and explore options before it is too late. To do so, it is critical to ‘set the stage’, by putting in place mechanisms to seek out ideas with potential future value and keep them alive for activation at an appropriate time.","Kumaraswamy et al., 2018, p. 1030."
AK0015,"A performative approach enables firms to take actions, learn, and transform as the phenomenon unfolds, thereby potentially limiting the likelihood of errors of omission and commission.","Kumaraswamy et al., 2018, p. 1036."
AK0016,"Disruptive technological change challenges the modalities of regulatory control. Because these technologies often hold great promise for social and economic benefit, their innovative development is to be encouraged. Pre-emptive regulatory controls may stifle innovation or lock in suboptimal variations of the new technology. On the other hand, new technologies often have highly uncertain potential costs.","Mashaw, 2019, p. 398."
DU0001,"Customers’ perception of the innovativeness of business models despite other quality criteria improves customer satisfaction and seems to be a relevant quality signal. Therefore, shaping the customers’ perception and awareness about business model innovation is an important driver of business performance.","Clauss et al., 2019, p.196."
DU0002,"The effect of CPBMI on customer satisfaction is partially mediated through customer value co-creation behavior. This indicates, that there are two avenues from CPBMI to customer satisfaction: namely, (1) to trigger customer cocreation behavior and create satisfaction in return, and (2) to directly impress the customer through CPBMI.","Clauss et al., 2019, p.197."
DU0003,"Business models need to be legitimized at the market in order to be adapted by customers. The existing knowledge regarding the outcomes of business model innovation (Foss and Saebi, 2017) beyond direct performance consequences (Karimi and Walter, 2016). In addition to this widely accepted direct consequence, business model innovation will be recognized by customers and will trigger reactions in terms of co-creation and lead to greater satisfaction.","Clauss et al., 2019, p.197."
DU0004,Perceived value creation innovativeness and value proposition innovativeness positively affect customer satisfaction and customer value co-creation behavior.,"Clauss et al., 2019, p.180."
DU0005,"The customer value proposition is a core construct of marketing and has been recognized as the firm's single most important organizing principle. It is defined as “a strategic tool facilitating communication of an organization's ability to share resources and offer a superior value package to targeted customers” . Seen through a strategic lens, customer value propositions have a dual role. First, they communicate a superior value creation potential to targeted customers. Second, they summarize the essence of marketing strategy decisions and signal implementation priorities to the actors in the supplier organization.","Eggert, et al., 2018; Payne et al., 2017, p. 472; Eggert et al., 2020, p.242."
DU0006,"The two key measures of quality of business models are customer value (effectiveness) and business value (efficiency).[2] The objective of every for-profit firm is to move to and stay in the “Winner state,” characterized by simultaneous provision of outstanding customer and business value. The first step to enhancing the value produced by the business model is asking the right questions, ones that will inform the strategic development agenda of companies’top management teams and boards."," Biloshapka,Osiyevskyy. , 2018, p.45.
"
DU0007,"To be effective, the analysis of customer value has to be fine-grained: A major insight is the need to consider value proposition (what is promised), value targeting (who is the primary recipient) and value delivery (how the promise is fulfilled) separately, which most companies don’t do.","Biloshapka,Osiyevskyy. , 2018, p.46."
DU0008,"A superior value proposition has to be matched with correct value targeting. Who is the primary customer being offered the best-in-class value? A business model is intended to serve all stakeholders of the firm, including end-users, buyers, sales channel partners, key suppliers and obviously investors. Yet, in most cases it is impossible to maximize the value provided to each stakeholder. Therefore, while providing sufficient value to each critical stakeholder to ensure their buy-in, management must choose a key stakeholder and focus all its efforts on optimizing the value provided to this primary customer.","Biloshapka, Osiyevskyy. , 2018, p.46."
DU0009,"Value propositions capture the essence of marketing strategy decisions and signal strategic priorities to the supplier organization and its customers. Against the backdrop of firms' resources and capabilities, value propositions delineate the superior contribution to their goals that targeted customers can expect from engaging with the supplier firm. Value propositions distill fundamental resource deployment and market selection decisions that are the cornerstones of strategic marketing . ","Lehmann & Winer, 2008; Rayport & Jaworski, 2004; Eggert, A., et al., 2018, p.85."
DU0010,"Value propositions offer strategic guidance that may improve marketing program alignment and resource deployment processes within a supplier firm . When communicated towards targeted customers, value propositions can sharpen the firm's positional advantage, which is the proximate reason for superior performance and reflects “the relative value actually delivered to target markets as a result of the firm's marketing strategy decision implementation efforts, and the cost of accomplishing this to the firm” . "," Eggert, A., et al., 2018, p.85."
DU0011,"A customer value proposition (CVP) is a strategic tool facilitating communication of an organization's ability to share resources and offer a superior value package to targeted customers. In contrast with other definitions and descriptions, this definition (1) highlights CVP's critical role as a communication device, (2) emphasizes the role of resources and resource sharing, and (3) stresses the need for an appropriate ""package"" of value that is differentiated from and superior to competitive offerings.","Rintamaki et al. 2007; Skålén et al. 2015;Payne, A., et al., 2017, p. 472."
DU0012,"There are four CVP perspectives, that indicate if it is effective or not: First, the value package should include both benefits and costs that establish clear differentiation from competitive offerings and are important to targeted customers. Second, a necessary consideration involves how value gets distributed across the customer relationship, before, during, and after the usage experience, including when the greatest value might be created. Third, nature of the resource sharing is pertinent, especially in instances in which deeper reciprocal engagement might result in meaningfully cocreated CVPs. Fourth, firms must determine which CVP design characteristics to emphasize when developing value propositions.","Anderson et al. 2006; Rintamaki et al. 2007; Ulaga and Eggert 2006;Payne, A., et al., 2017, p. 472."
DU0013,"To sustain a superior customer value proposition, a supplier must be obsessed with a customer’s problem (to solve), rather than with the supplier’s available solution (to sell). This “problem focus” allows managers to see numerous opportunities to improve the offered benefits, keeping the value proposition relevant over time.","Biloshapka,Osiyevskyy ., 2018, p.47."
SH0001,"Business model innovation matters to managers, entrepreneurs and academic researchers for several reasons. First, it represents an often underutilized source of future value. Second, competitors might find it more difficult to imitate or replicate an entire novel activity system than a single novel product or process. Third, because business model innovation can be such a potentially powerful competitive tool, managers must be attuned to the possibility of competitors’ efforts in this area.","Amit & Zott, 2012, p. 3. "
SH0002,"An innovative business model can either create a new market or allow a company to create and exploits new opportunities in existing markets. Dell, for example, implemented a customer-driven, built-to-order business model that replaced the traditional built-to-stock model of selling computers throw retail stores.","Amit & Zott, 2012, p. 5. "
SH0003,"Two phases are critical for firms’ BMI. The first is the design phase, in which firms discover, create, and select a new business model based on their (and their stakeholders’) goals, templates from their current or other industries, stakeholders they could or plan to involve in the businesses, and their environmental constraints. The second is the operation phase, in which firms exploit and adapt their innovative business models to create and capture value together with their external stakeholders.","Amit et. al., 2019, p. 8."
SH0004,Collaborations not only shape how innovative business models are designed but also affect the operation of innovative business models. By this we mean the processes through  which a focal firm exploits an innovative business model design and adapts the business model further to environmental changes.,"Amit et. al., 2019, p. 11."
SH0005,"We formally define the business model as the system of independent activities that are performed by a focal firm and by its partners and it mechanisms that link these activities to each other.An activity in a focal firms' business model can be viewed as the engagement of human, physical, and/or capital resources of any party to the business model (the focal firm, end customers, vendors, etc. to serve a specific purpose toward the fulfillment of the overall objective.An activity system is a set of interdependent and interconnected activities that are centered on a focal firm; it encompasses activities that are conducted either by the focal firm or by partners, customers, or vendors.","Amit & Zott, 2021, p. 13."
SH0006,"To fully address a market opportunity, a firm's business model (a.k.a activity system) many transcend the focal firm and span across the firm and its industry boundaries, but it remains centered on a focal firm, enabling the focal firm not only to create value with its partners through the activities they perform, but also to appropriate a share of the value created. The firm's revenue model plays an important role in value appropriation.","Amit & Zott, 2021, p. 14."
SH0007,"One of the most important skills needed to become a good business model designer is the ability to think holistically about your firm's current or future business model. This ability to ""see the big picture"" will allow you to conceptualize and innovate at a system level. Adopting a design-oriented business mother mindsets, you will be equipped to design a firm that is ready to meet expected future trends (for example, in technology).","Amit & Zott, 2021, p. 22."
SH0008,"Content, structure and governance can be highly interdependent, and they need to be in line with the value creation and capture goals of the company, such as its revenue model, which could be referred to as  the raison d’être, or the WHY of the business model.","Zott & Amit, 2017, p. 23."
SH0009," As a result, choices about business model design often go unchallenged for a long time – sometimes for too long a time. In disruptive  and quickly changing environments, seeing the whole picture and acting upon it early can be a matter of corporate survival.","Zott & Amit, 2017, p. 23."
SH0010,"A business model framework is a basic structure that spells out the building blocks (components) for acquiring and using resources to generate, deliver and monetize customer benefits. Importantly, it is a shared language that can be used to zoom in on strategically meaningful activities and their consequences for value creation and capture. Thus, the framework can be used to develop a new business model or paint a portrait of an existing model.","Afuah, A., 2014, p 45."
SH0011,"For organizations whose goals include profitability and growth, money is critical and importantly comes from customers who pay for what fulfills their needs. Thus, for customers to buy proton products or services from an organization, its products or services must embody benefits that satisfy customers' needs. That is, the organization must offer customers the right value proposition. However, a product that meets the needs of one market segment may not meet the needs of another.","Afuah, A., 2014, p 47."
SH0012,"Many startups do not yet have business models. Therefore, one cannot paint a portrait of what one does not know. Consequently, the discovery process is used to determine what should go into the model. For each component, participants try to identify those elements of a business model that stand to make the most contribution to creating and delivering benefits to customers and, importantly, monetizing the benefits.","Afuah, A., 2014, p 50."
KS0001,"Considering the impact of digital technologies on human capital formation also raises the question of relative gains. We have prominently discussed this with regards to skill-biased technological change and subsequent income effects, but also highlighted the distributional effects of digitalization concerning productivity and trade. Elaborating on this cross-cutting issue seems especially fruitful against the backdrop of structural duality within developing economies.","Matthess et al., 2020, p. 9."
KS0002,"Moreover, we suggest that digitalization might facilitate harnessinglatent comparative advantages to diversify trade. Digitalization reduces transaction costs which have been identified as one impeding factor to exploiting latent comparative advantages. Hence, it might be valuable for developing countries to re-assess latent comparative advantages related to digitalization-enabled tasks, products and sectors which exhibit higher growth rates compared to traditional tasks, products and sectors (e.g. due to network and scale effects). ","Matthess et al., 2020, p. 9."
KS0003,"The pandemic spread has caused unprecedentedly tough quarantine measures and required quick
changes in the organization of work and business
towards distant ones. The new economy that is being formed will include virtual reality thanks to
total digitalization whereas the material reality
will be also changed significantly. ","Alekseieva et al., 2021, p. 272."
KS0004,"Certainly, the digitalization itself can be understood as one of the vivid appearances (main trends) of the change of technological orders together with for instance transition from an internal combustion engine to more advanced engine models (electric, hydrogen) or searching for the ways of non-waste production, new medicine, new forms of or organization.","Alekseieva et al., 2021, p. 267."
KS0005,"Digitalization opens a broad range of exciting possibilities as in any technological revolution but brings, inevitably, a series of
concerns. Digitalization is expected to increase the sustainability of our energy systems, spread electricity to remote areas, and improve the way we use it.","Mondejar et al., 2021, p. 9-10."
KS0006,"Digital health includes different technological advances such as telehealth and telemedicine. Telehealth is the use of electronic information and telecommunication technologies to support and promote long-distance clinical health care, patient and professional health-related education, public health, and health administration.","Mondejar et al., 2021, p. 14."
KS0007,"Once a database has been built according to the steps described in the previous section, various
topics can be addressed. A technology, a firm, or an individual can be studied in further detail.
Making use of the search function in a database where all documents have been processed using
OCR technique implies that all documents containing this particular term or name can be identified.","Laurell et al., 2020, p. 97."
KS0008,"Digitalization seems to enable a shift toward more historical perspectives as it holds the potential to make data collection and analysis much more resource-efficient. The research related to digital archives described earlier illustrates how the emergence of software, digital photography, OCR-processing, and the creation of a database structure creates considerable productivityimprovements.","Laurell et al., 2020, p. 101."
KS0009,"In the case of digital archives, micro-level activities can also be combined with aggregated
observations concerning the state of an organization or a field. Actors can be identified, actions can
be tracked and measured on the micro level, including assessments of their discursive strategies.
Snippets can more easily be found on the micro level and related to aggregated patterns such as
turnover growth, the emergence of brokerage firms, and how they differed from traditional actors
such as banks.","Laurell et al., 2020, p. 102."
KS0010,"Automation Cloud enables software applications to be installed not physically in the plant but anywhere through either intra- or internet connection. This enables the use of much more powerful computing resources (e.g. parallel computing) and easier remote administration. It can also allow purchasing a solution as a service withoutinvesting inhardware,thus reducing the investment risk.","Isakssona et al., 2018, p. 123."
KS0011,"Mobility, Unmanned Sites and Remote Operations all contribute to more automated process operations and control. The main idea is to increase the safety of operations, reduce costs and be able to monitor and interact with the process from anywhere at any time. Upcoming standards e.g. 5G with very low latency should enable geographically distributed control solution components. In principle this could be seen as a pure IT-topic.","Isakssona et al., 2018, p. 124."
KS0012,"With the recent developments towards internet of things (IoT), we can expect that in the future devices and systems can seamlessly communicate. The most typical IoT-effects are seen in data analytics, where new devices can on-line collect earlier hardly accessible information and feed it into the cloud, where theoretically “unlimited” computing power can be applied for processing the data or optimizing larger-scale problems.","Isakssona et al., 2018, p. 126."
MK001,"Similar to biological ecosystems, the digital business ecosystem should be populated by a critical mass of species in order to be attractive for the market and have a number of individuals enough to survive",Gracia & Matos 2017 p. 237
MK002,"Promoting sustainability and resilience in a business ecosystem, is one of the current concerns in business practice and research. Sustainability in ecology is defined as the ability of an ecosystem to maintain its essential functions and processes, and retain its biodiversity in full measure over the long-term. Resilience is the capacity of an ecosystem to respond to a perturbation or disturbance by resisting damage andrecovering quickly",Gracia & Matos 2017 p. 250
MK003,Customers can influence the health of business ecosystem through their participation.Customers’ roles such as word-of-mouth (WOM) and boycott are typical examples of customer participation at the business ecosystem level. Such customer participation influences the productivity and robustness of the business ecosystem.,Joo & Marakhimov 2017 p.2
